CITY,DATE,AGE,YEAR
"Commerce, GA",4/14/24,Adult,2024
"Thomaston, GA",3/20/24,Adult,2024
"Comer, GA",3/20/24,Adult,2024
"Gainesville, GA",3/16/24,Adult,2024
"Morganton, GA",3/14/24,Adult,2024
"Elberton, GA",3/12/24,Adult,2024
"Gainesville, GA",3/12/24,Adult,2024
"Suches, GA",3/11/24,Adult,2024
"Winterville, GA",3/8/24,Adult,2024
"Athens, GA",3/8/24,Adult,2024
"MORELAND, GA",3/8/24,Adult,2024
"Statesboro, GA",3/7/24,Adult,2024
"Newnan, GA",3/7/24,Adult,2024
"Madras, GA",3/7/24,Adult,2024
"Madras, GA",3/7/24,Adult,2024
"Commerce, GA",3/7/24,Adult,2024
"Rabun Gap, GA",3/4/24,Adult,2024
"Berkeley Lake, GA",3/4/24,Adult,2024
"Shiloh, GA",3/4/24,Adult,2024
"Statesboro, GA",3/4/24,Adult,2024
"Roswell, GA",3/3/24,Adult,2024
"Hawkinsville, GA",2/29/24,Adult,2024
"Jesup, GA",2/28/24,Adult,2024
"MADISON, GA",2/27/24,Adult,2024
"Cumming, GA",2/25/24,Adult,2024
"Rome, GA",2/24/24,Adult,2024
"Resaca, GA",2/24/24,Adult,2024
"Rincon, GA",2/24/24,Adult,2024
"Appling, GA",2/24/24,Adult,2024
"Manchester, GA",2/23/24,Adult,2024
"Fayetteville, GA",2/22/24,Adult,2024
"Forsyth, GA",2/22/24,Adult,2024
"Register, GA",2/22/24,Adult,2024
"Woodbine, GA",2/22/24,Adult,2024
"Sharpsburg, GA",2/21/24,Adult,2024
"Griffin, GA",2/21/24,Adult,2024
"Guyton, GA",2/21/24,Adult,2024
"Adel, GA",2/20/24,Adult,2024
"Cumming, GA",2/19/24,Adult,2024
"Appling, GA",2/17/24,Adult,2024
"Newington, GA",2/16/24,Adult,2024
"Cohutta, GA",2/16/24,Adult,2024
"Michell, GA",2/16/24,Adult,2024
"Macon, GA",2/15/24,Adult,2024
"Madison, GA",2/15/24,Adult,2024
"Lizella, GA",2/15/24,Adult,2024
"Sylvester, GA",2/14/24,Adult,2024
"Rentz, GA",2/13/24,Adult,2024
"Rentz, GA",2/13/24,Adult,2024
"Millen, GA",2/11/24,Adult,2024
"Thomson, GA",2/10/24,Adult,2024
"Guyton, GA",2/10/24,Adult,2024
"Rocky Ford, GA",2/10/24,Adult,2024
"Lyons, GA",2/10/24,Adult,2024
"Fort Moore, GA",2/9/24,Adult,2024
"Warner Robins, GA",2/9/24,Adult,2024
"Fickling Mill Hill, GA",2/9/24,Adult,2024
"East dublin, GA",2/8/24,Adult,2024
"Fort Valley, GA",2/8/24,Adult,2024
"Harrison, GA",2/8/24,Adult,2024
"Kite, GA",2/7/24,Adult,2024
"Uvalda, GA",2/7/24,Adult,2024
"Knoxville, GA",2/7/24,Adult,2024
"Kite, GA",2/7/24,Adult,2024
"The Rock, GA",2/6/24,Adult,2024
"Lake Park, GA",2/5/24,Adult,2024
"Wrightsville, GA",2/3/24,Adult,2024
"Wrightsville, GA",2/3/24,Adult,2024
"Fayetteville, GA",2/3/24,Adult,2024
"Bonaire, GA",2/3/24,Adult,2024
"Blakely, GA",2/2/24,Adult,2024
"Perry, GA",2/2/24,Adult,2024
"Brinson, GA",2/2/24,Adult,2024
"Roopville, GA",1/31/24,Adult,2024
"Leesburg, GA",1/31/24,Adult,2024
"Dawson, GA",1/31/24,Adult,2024
"McRae Helena, GA",1/30/24,Adult,2024
"Rhine, GA",1/29/24,Adult,2024
"Americus, GA",1/27/24,Adult,2024
"Tifton, GA",1/26/24,Adult,2024
"Abbeville, GA",1/25/24,Adult,2024
"Dawson, GA",1/24/24,Adult,2024
"Ludowici, GA",1/20/24,Adult,2024
"Sylvester, GA",1/16/24,Adult,2024
"Tifton, GA",1/13/24,Adult,2024
"Nashville, GA",1/10/24,Adult,2024
"MADISON, GA",5/3/24,Subadult,2024
"Rincon, GA",4/20/24,Subadult,2024
"Thomaston, GA",4/6/24,Subadult,2024
"Nashville, GA",3/24/24,Subadult,2024
"Dallas, GA",4/3/23,Adult,2023
"Hurst, GA",3/23/23,Adult,2023
"Suches, GA",3/23/23,Adult,2023
"Commerce, GA",3/19/23,Adult,2023
"Gainesville, GA",3/11/23,Adult,2023
"Gainesville, GA",3/11/23,Adult,2023
"Toccoa, GA",3/7/23,Adult,2023
"Berkeley Lake, GA",3/7/23,Adult,2023
"Commerce, GA",3/6/23,Adult,2023
"Roswell, GA",3/5/23,Adult,2023
"MORELAND, GA",3/5/23,Adult,2023
"Gainesville, GA",3/4/23,Adult,2023
"Appling, GA",3/3/23,Adult,2023
"Rabun Gap, GA",3/1/23,Adult,2023
"Rome, GA",2/28/23,Adult,2023
"Blakely, GA",2/24/23,Adult,2023
"Covington, GA",2/24/23,Adult,2023
"conyers, GA",2/24/23,Adult,2023
"ODUM, GA",2/24/23,Adult,2023
"Resaca, GA",2/22/23,Adult,2023
"Register, GA",2/22/23,Adult,2023
"Cohutta, GA",2/22/23,Adult,2023
"Sparta, GA",2/21/23,Adult,2023
"Adel, GA",2/20/23,Adult,2023
"Greensboro, GA",2/19/23,Adult,2023
"Shiloh, GA",2/19/23,Adult,2023
"madison, GA",2/18/23,Adult,2023
"Guyton, GA",2/18/23,Adult,2023
"Rincon, GA",2/17/23,Adult,2023
"RJ, GA",2/17/23,Adult,2023
"Fayetteville, GA",2/16/23,Adult,2023
"Newnan, GA",2/16/23,Adult,2023
"Cumming, GA",2/16/23,Adult,2023
"Appling, GA",2/16/23,Adult,2023
"Cumming (Chestatee), GA",2/16/23,Adult,2023
"Perry, GA",2/15/23,Adult,2023
"Sharpsburg, GA",2/15/23,Adult,2023
"Thomson, GA",2/15/23,Adult,2023
"Griffin, GA",2/15/23,Adult,2023
"Statesboro, GA",2/15/23,Adult,2023
"Lizella, GA",2/15/23,Adult,2023
"Guyton, GA",2/15/23,Adult,2023
"Guyton, GA",2/15/23,Adult,2023
"Fort Benning, GA",2/15/23,Adult,2023
"Jesup, GA",2/15/23,Adult,2023
"Knoxville, GA",2/14/23,Adult,2023
"Barney, GA",2/14/23,Adult,2023
"Madison, GA",2/14/23,Adult,2023
"Rentz, GA",2/13/23,Adult,2023
"Newington, GA",2/10/23,Adult,2023
"Oliver, GA",2/10/23,Adult,2023
"the rock, GA",2/10/23,Adult,2023
"Thomson, GA",2/8/23,Adult,2023
"Lizella, GA",2/8/23,Adult,2023
"Ludowici, GA",2/8/23,Adult,2023
"Hawkinsville, GA",2/8/23,Adult,2023
"Wrightsville, GA",2/8/23,Adult,2023
"Milledgeville, GA",2/7/23,Adult,2023
"Kite, GA",2/6/23,Adult,2023
"Wrightsville, GA",2/5/23,Adult,2023
"Warner Robins, GA",2/4/23,Adult,2023
"Roopville, GA",2/3/23,Adult,2023
"Lake Park, GA",2/2/23,Adult,2023
"Bonaire, GA",2/1/23,Adult,2023
"Pondtown, GA",1/31/23,Adult,2023
"Reynolds, GA",1/31/23,Adult,2023
"Dawson, GA",1/31/23,Adult,2023
"Dawson, GA",1/31/23,Adult,2023
"Lenox, GA",1/31/23,Adult,2023
"Jesup, GA",1/30/23,Adult,2023
"Uvalda, GA",1/30/23,Adult,2023
"Leesburg, GA",1/24/23,Adult,2023
"Fort Valley, GA",1/20/23,Adult,2023
